"SchoolNumber" "Number" "Advanced" "Proficient" "Basic" "BelowBasic" "Mathmean" "default" "high" "low" "both"
"98" "000001172" 159 18.9 37.7 28.3 15.1 1340 "black" "black" "black" "black"
"99" "000001177" 228 18.4 32.9 25.9 22.8 1320 "black" "black" "black" "black"
"100" "000001183" 510 21.6 29.6 22.9 25.9 1330 "black" "black" "black" "black"
"101" "000001191" 170 14.7 36.5 27.1 21.8 1310 "black" "black" "black" "black"
"102" "000001208" 144 18.8 27.8 29.2 24.3 1320 "black" "black" "black" "black"
"103" "000001213" 189 12.2 29.6 25.9 32.3 1270 "black" "black" "black" "black"
"104" "000001225" 44 0 13.6 34.1 52.3 1170 "black" "black" "black" "black"
"105" "000001251" 185 7 26.5 27 39.5 1230 "black" "black" "black" "black"
"106" "000001270" 80 27.5 32.5 12.5 27.5 1360 "black" "black" "black" "black"
"107" "000001293" 135 23 41.5 17 18.5 1380 "black" "black" "black" "black"
"108" "000001299" 82 4.9 24.4 29.3 41.5 1230 "black" "black" "black" "black"
"109" "000001307" 110 23.6 29.1 26.4 20.9 1350 "black" "black" "black" "black"
"110" "000001315" 152 15.1 32.2 22.4 30.3 1300 "black" "black" "black" "black"
"111" "000001327" 51 15.7 27.5 31.4 25.5 1290 "black" "black" "black" "black"
"112" "000001335" 156 12.2 25 25.6 37.2 1250 "black" "black" "black" "black"
"113" "000001343" 223 22 32.7 16.1 29.1 1320 "black" "black" "black" "black"
"114" "000001364" 553 52.4 27.7 9.2 10.7 1480 "black" "blue" "black" "blue"
"115" "000001367" 312 31.1 27.6 18.6 22.8 1370 "black" "black" "black" "black"
"116" "000001387" 608 31.3 31.9 18.8 18.1 1380 "black" "black" "black" "black"
"117" "000001406" 257 26.1 33.9 24.1 16 1380 "black" "black" "black" "black"
"118" "000001414" 161 23.6 28.6 24.8 23 1330 "black" "black" "black" "black"
"119" "000001420" 190 18.4 23.2 20.5 37.9 1280 "black" "black" "black" "black"
"120" "000001423" 377 57.6 26.5 10.9 5 1520 "black" "blue" "black" "blue"
"121" "000001424" 250 32 34 17.6 16.4 1400 "black" "black" "black" "black"
"122" "000001426" 212 27.8 32.5 21.2 18.4 1380 "black" "black" "black" "black"
"123" "000001443" 281 44.8 31 16 8.2 1470 "black" "blue" "black" "blue"
"124" "000001453" 420 40.5 28.1 14 17.4 1420 "black" "black" "black" "black"
"125" "000001475" 73 26 31.5 19.2 23.3 1340 "black" "black" "black" "black"
"126" "000001480" 67 14.9 38.8 20.9 25.4 1310 "black" "black" "black" "black"
"127" "000001486" 87 14.9 28.7 25.3 31 1300 "black" "black" "black" "black"
"128" "000001489" 62 14.5 29 24.2 32.3 1270 "black" "black" "black" "black"
"129" "000001495" 106 10.4 33 23.6 33 1280 "black" "black" "black" "black"
"130" "000001501" 64 18.8 20.3 18.8 42.2 1250 "black" "black" "black" "black"
"131" "000001529" 94 10.6 25.5 24.5 39.4 1230 "black" "black" "black" "black"
"132" "000001547" 33 24.2 18.2 9.1 48.5 1250 "black" "black" "black" "black"
"133" "000001550" 96 6.3 28.1 25 40.6 1230 "black" "black" "black" "black"
"134" "000001560" 162 17.3 26.5 26.5 29.6 1290 "black" "black" "black" "black"
"135" "000001566" 79 12.7 39.2 27.8 20.3 1310 "black" "black" "black" "black"
"136" "000001595" 37 10.8 37.8 18.9 32.4 1280 "black" "black" "black" "black"
"137" "000001605" 200 20 24.5 23.5 32 1290 "black" "black" "black" "black"
"138" "000001612" 93 32.3 24.7 21.5 21.5 1370 "black" "black" "black" "black"
"139" "000001619" 163 35 42.3 14.1 8.6 1420 "black" "black" "black" "black"
"140" "000001623" 73 19.2 28.8 24.7 27.4 1310 "black" "black" "black" "black"
"141" "000001627" 127 24.4 29.1 18.1 28.3 1340 "black" "black" "black" "black"
"142" "000001629" 113 34.5 35.4 14.2 15.9 1410 "black" "black" "black" "black"
"143" "000001632" 74 21.6 29.7 21.6 27 1310 "black" "black" "black" "black"
"144" "000001637" 82 17.1 23.2 29.3 30.5 1290 "black" "black" "black" "black"
"145" "000001639" 65 9.2 21.5 29.2 40 1240 "black" "black" "black" "black"
"146" "000001644" 79 20.3 29.1 27.8 22.8 1330 "black" "black" "black" "black"
"147" "000001654" 266 26.3 31.6 22.6 19.5 1350 "black" "black" "black" "black"
"148" "000001668" 193 23.8 26.4 22.3 27.5 1330 "black" "black" "black" "black"
"149" "000001677" 236 14.4 33.5 23.7 28.4 1300 "black" "black" "black" "black"
"150" "000001682" 70 44.3 21.4 18.6 15.7 1430 "black" "black" "black" "black"
"151" "000001694" 339 31 25.4 19.2 24.5 1360 "black" "black" "black" "black"
"152" "000001701" 579 38.9 30.6 16.9 13.6 1430 "black" "black" "black" "black"
"153" "000001707" 204 25 29.9 18.6 26.5 1330 "black" "black" "black" "black"
"154" "000001732" 307 20.5 33.9 22.5 23.1 1320 "black" "black" "black" "black"
"155" "000001745" 406 32.5 30.8 18.2 18.5 1390 "black" "black" "black" "black"
"156" "000001746" 310 17.4 21.6 24.5 36.5 1260 "black" "black" "black" "black"
"157" "000001776" 275 40 30.5 15.3 14.2 1440 "black" "black" "black" "black"
"158" "000001790" 188 13.8 21.3 27.7 37.2 1260 "black" "black" "black" "black"
"159" "000001794" 47 17 42.6 14.9 25.5 1330 "black" "black" "black" "black"
"160" "000001801" 82 14.6 15.9 14.6 54.9 1190 "black" "black" "black" "black"
"161" "000001806" 222 41 23 14 22.1 1410 "black" "black" "black" "black"
"162" "000001849" 248 15.3 23.4 25 36.3 1270 "black" "black" "black" "black"
"163" "000001869" 222 31.5 35.1 17.6 15.8 1400 "black" "black" "black" "black"
"164" "000001879" 402 39.6 30.6 15.7 14.2 1430 "black" "black" "black" "black"
"165" "000001885" 294 16 22.1 28.6 33.3 1280 "black" "black" "black" "black"
"166" "000001892" 291 5.5 11.7 21.3 61.5 1150 "black" "black" "black" "black"
"167" "000001902" 282 39.4 29.4 16.7 14.5 1440 "black" "black" "black" "black"
"168" "000001915" 267 21.7 31.1 20.2 27 1330 "black" "black" "black" "black"
"169" "000001921" 230 55.7 26.1 9.6 8.7 1510 "black" "blue" "black" "blue"
"170" "000001934" 372 17.7 27.4 23.9 30.9 1300 "black" "black" "black" "black"
"171" "000001942" 322 40.7 24.2 17.4 17.7 1420 "black" "black" "black" "black"
"172" "000001950" 265 31.7 29.8 19.6 18.9 1390 "black" "black" "black" "black"
"173" "000001972" 803 22 23 20.8 34.1 1300 "black" "black" "black" "black"
"174" "000001989" 87 24.1 21.8 32.2 21.8 1330 "black" "black" "black" "black"
"175" "000001998" 172 16.3 26.7 22.7 34.3 1280 "black" "black" "black" "black"
"176" "000002026" 191 4.2 16.8 24.6 54.5 1170 "black" "black" "black" "black"
"177" "000002027" 92 1.1 10.9 25 63 1140 "black" "black" "black" "black"
"178" "000002037" 195 16.9 34.4 23.6 25.1 1310 "black" "black" "black" "black"
"179" "000002040" 215 32.6 35.8 20.5 11.2 1400 "black" "black" "black" "black"
"180" "000002043" 147 29.3 30.6 21.1 19 1370 "black" "black" "black" "black"
"181" "000002048" 226 23.9 38.5 21.2 16.4 1360 "black" "black" "black" "black"
"182" "000002063" 476 23.3 32.8 23.3 20.6 1340 "black" "black" "black" "black"
"183" "000002075" 106 14.2 26.4 29.2 30.2 1270 "black" "black" "black" "black"
"184" "000002126" 75 32 36 10.7 21.3 1380 "black" "black" "black" "black"
"185" "000002184" 238 13 23.9 22.3 40.8 1260 "black" "black" "black" "black"
"186" "000002191" 522 22.2 25.7 22.8 29.3 1320 "black" "black" "black" "black"
"187" "000002201" 42 4.8 31 21.4 42.9 1220 "black" "black" "black" "black"
"188" "000002206" 193 24.9 34.7 17.1 23.3 1350 "black" "black" "black" "black"
"189" "000002243" 309 14.6 23 26.2 36.2 1270 "black" "black" "black" "black"
"190" "000002246" 36 13.9 25 33.3 27.8 1310 "black" "black" "black" "black"
"191" "000002253" 55 14.5 38.2 23.6 23.6 1300 "black" "black" "black" "black"
"192" "000002280" 90 14.4 15.6 18.9 51.1 1220 "black" "black" "black" "black"
"193" "000002284" 54 0 22.2 31.5 46.3 1180 "black" "black" "black" "black"
"194" "000002297" 107 5.6 22.4 27.1 44.9 1200 "black" "black" "black" "black"
"195" "000002305" 194 22.7 29.9 26.3 21.1 1350 "black" "black" "black" "black"
"196" "000002308" 82 13.4 26.8 20.7 39 1250 "black" "black" "black" "black"
"197" "000002313" 107 11.2 29.9 20.6 38.3 1250 "black" "black" "black" "black"
"198" "000002320" 108 19.4 29.6 14.8 36.1 1310 "black" "black" "black" "black"
"199" "000002325" 298 36.6 30.5 15.8 17.1 1400 "black" "black" "black" "black"
"200" "000002331" 90 31.1 17.8 25.6 25.6 1330 "black" "black" "black" "black"
"201" "000002339" 106 12.3 17 27.4 43.4 1230 "black" "black" "black" "black"
"202" "000002345" 86 14 27.9 37.2 20.9 1300 "black" "black" "black" "black"
"203" "000002350" 80 10 37.5 17.5 35 1270 "black" "black" "black" "black"
"204" "000002353" 73 21.9 31.5 19.2 27.4 1340 "black" "black" "black" "black"
"205" "000002358" 100 15 36 20 29 1290 "black" "black" "black" "black"
"206" "000002362" 85 9.4 35.3 25.9 29.4 1280 "black" "black" "black" "black"
"207" "000002394" 114 15.8 28.1 27.2 28.9 1290 "black" "black" "black" "black"
"208" "000002420" 96 12.5 21.9 22.9 42.7 1240 "black" "black" "black" "black"
"209" "000002429" 126 13.5 38.9 24.6 23 1300 "black" "black" "black" "black"
"210" "000002446" 249 30.5 27.7 21.3 20.5 1380 "black" "black" "black" "black"
"211" "000002449" 72 22.2 18.1 22.2 37.5 1280 "black" "black" "black" "black"
"212" "000002489" 234 11.1 15.4 22.2 51.3 1210 "black" "black" "black" "black"
"213" "000002496" 123 26.8 26.8 21.1 25.2 1340 "black" "black" "black" "black"
"214" "000002515" 94 4.3 22.3 28.7 44.7 1180 "black" "black" "black" "black"
"215" "000002532" 274 27.7 35 20.1 17.2 1370 "black" "black" "black" "black"
"216" "000002539" 172 21.5 26.7 23.3 28.5 1320 "black" "black" "black" "black"
"217" "000002554" 278 25.5 30.9 21.6 21.9 1360 "black" "black" "black" "black"
"218" "000002562" 297 27.3 31.6 20.9 20.2 1370 "black" "black" "black" "black"
"219" "000002578" 520 42.1 29 16 12.9 1440 "black" "black" "black" "black"
"220" "000002596" 468 12 17.9 19.7 50.4 1220 "black" "black" "black" "black"
"221" "000002607" 243 30 35.8 9.9 24.3 1370 "black" "black" "black" "black"
"222" "000002618" 240 22.9 37.9 21.3 17.9 1360 "black" "black" "black" "black"
"223" "000002623" 362 42 31.2 14.1 12.7 1430 "black" "black" "black" "black"
"224" "000002633" 412 28.9 29.9 21.1 20.1 1370 "black" "black" "black" "black"
"225" "000002649" 153 26.8 30.1 19.6 23.5 1340 "black" "black" "black" "black"
"226" "000002658" 286 22.4 30.1 20.3 27.3 1330 "black" "black" "black" "black"
"227" "000002663" 331 29.9 28.7 21.1 20.2 1360 "black" "black" "black" "black"
"228" "000002675" 139 27.3 33.8 23.7 15.1 1360 "black" "black" "black" "black"
"229" "000002680" 125 18.4 38.4 21.6 21.6 1340 "black" "black" "black" "black"
"230" "000002686" 124 13.7 33.9 27.4 25 1300 "black" "black" "black" "black"
"231" "000002689" 105 38.1 36.2 14.3 11.4 1430 "black" "black" "black" "black"
"232" "000002704" 173 23.7 29.5 21.4 25.4 1330 "black" "black" "black" "black"
"233" "000002708" 102 14.7 33.3 29.4 22.5 1300 "black" "black" "black" "black"
"234" "000002712" 46 23.9 21.7 21.7 32.6 1290 "black" "black" "black" "black"
"235" "000002721" 127 35.4 31.5 20.5 12.6 1400 "black" "black" "black" "black"
"236" "000002725" 132 45.5 21.2 18.9 14.4 1430 "black" "black" "black" "black"
"237" "000002740" 165 23 27.3 20.6 29.1 1320 "black" "black" "black" "black"
"238" "000002760" 160 16.9 31.9 25.6 25.6 1310 "black" "black" "black" "black"
"239" "000002766" 188 13.8 31.9 23.4 30.9 1280 "black" "black" "black" "black"
"240" "000002794" 462 12.6 14.9 23.2 49.4 1220 "black" "black" "black" "black"
"241" "000002795" 312 8.7 22.8 24.4 44.2 1210 "black" "black" "black" "black"
"242" "000002798" 134 22.4 28.4 23.9 25.4 1320 "black" "black" "black" "black"
"243" "000002809" 512 36.9 30.7 17.6 14.8 1420 "black" "black" "black" "black"
"244" "000002818" 150 6.7 29.3 32 32 1250 "black" "black" "black" "black"
"245" "000002821" 180 19.4 35.6 21.7 23.3 1330 "black" "black" "black" "black"
"246" "000002829" 615 33.2 31.9 16.4 18.5 1400 "black" "black" "black" "black"
"247" "000002833" 140 19.3 30.7 19.3 30.7 1310 "black" "black" "black" "black"
"248" "000002839" 232 33.6 30.2 19 17.2 1390 "black" "black" "black" "black"
"249" "000002848" 297 24.9 31 20.2 23.9 1340 "black" "black" "black" "black"
"250" "000002860" 211 27 24.6 22.7 25.6 1340 "black" "black" "black" "black"
"251" "000002869" 186 26.3 30.6 22 21 1350 "black" "black" "black" "black"
"252" "000002891" 162 5.6 21.6 29 43.8 1210 "black" "black" "black" "black"
"253" "000002924" 196 21.4 27.6 27 24 1320 "black" "black" "black" "black"
"254" "000002958" 97 15.5 27.8 29.9 26.8 1290 "black" "black" "black" "black"
"255" "000003007" 263 24.7 30.4 24.7 20.2 1350 "black" "black" "black" "black"
"256" "000003008" 123 26 28.5 20.3 25.2 1330 "black" "black" "black" "black"
"257" "000003009" 138 38.4 34.8 13.8 13 1440 "black" "black" "black" "black"
"258" "000003034" 219 24.2 32 17.4 26.5 1340 "black" "black" "black" "black"
"259" "000003040" 84 29.8 38.1 23.8 8.3 1400 "black" "black" "black" "black"
"260" "000003045" 210 24.3 34.3 24.3 17.1 1370 "black" "black" "black" "black"
"261" "000003048" 82 22 30.5 20.7 26.8 1340 "black" "black" "black" "black"
"262" "000003056" 126 19 31 27.8 22.2 1320 "black" "black" "black" "black"
"263" "000003107" 68 16.2 26.5 20.6 36.8 1260 "black" "black" "black" "black"
"264" "000003111" 78 6.4 32.1 25.6 35.9 1250 "black" "black" "black" "black"
"265" "000003117" 86 18.6 26.7 25.6 29.1 1300 "black" "black" "black" "black"
"266" "000003124" 72 23.6 22.2 23.6 30.6 1290 "black" "black" "black" "black"
"267" "000003137" 134 23.1 27.6 24.6 24.6 1320 "black" "black" "black" "black"
"268" "000003145" 171 34.5 32.2 17 16.4 1410 "black" "black" "black" "black"
"269" "000003150" 170 20 25.9 23.5 30.6 1310 "black" "black" "black" "black"
"270" "000003155" 114 21.1 32.5 23.7 22.8 1330 "black" "black" "black" "black"
"271" "000003158" 126 26.2 25.4 21.4 27 1330 "black" "black" "black" "black"
"272" "000003165" 101 14.9 32.7 30.7 21.8 1300 "black" "black" "black" "black"
"273" "000003210" 415 23.6 26 23.6 26.7 1330 "black" "black" "black" "black"
"274" "000003216" 706 14.4 28 22.1 35.4 1270 "black" "black" "black" "black"
"275" "000003224" 374 14.7 27.8 28.1 29.4 1290 "black" "black" "black" "black"
"276" "000003241" 594 35.9 26.6 17.8 19.7 1410 "black" "black" "black" "black"
"277" "000003247" 306 40.8 26.5 16.3 16.3 1420 "black" "black" "black" "black"
"278" "000003260" 417 38.6 24.9 16.3 20.1 1400 "black" "black" "black" "black"
"279" "000003272" 388 29.4 31.2 22.4 17 1370 "black" "black" "black" "black"
"280" "000003277" 59 39 39 13.6 8.5 1440 "black" "black" "black" "black"
"281" "000003295" 331 58 24.2 8.5 9.4 1530 "black" "blue" "black" "blue"
"282" "000003296" 178 48.3 24.7 14.6 12.4 1480 "black" "blue" "black" "blue"
"283" "000003305" 337 40.9 31.5 16 11.6 1440 "black" "black" "black" "black"
"284" "000003328" 262 17.2 32.8 26.3 23.7 1320 "black" "black" "black" "black"
"285" "000003333" 361 29.1 25.2 21.9 23.8 1350 "black" "black" "black" "black"
"286" "000003338" 180 26.7 30.6 23.9 18.9 1370 "black" "black" "black" "black"
"287" "000003348" 171 11.1 25.1 29.8 33.9 1260 "black" "black" "black" "black"
"288" "000003354" 413 32.4 29.3 19.6 18.6 1390 "black" "black" "black" "black"
"289" "000003367" 294 35.7 27.2 19 18 1410 "black" "black" "black" "black"
"290" "000003376" 161 34.2 29.8 17.4 18.6 1390 "black" "black" "black" "black"
"291" "000003395" 229 27.5 29.3 23.6 19.7 1360 "black" "black" "black" "black"
"292" "000003401" 230 32.6 30.4 22.2 14.8 1400 "black" "black" "black" "black"
"293" "000003425" 181 34.8 33.1 17.1 14.9 1400 "black" "black" "black" "black"
"294" "000003434" 259 12.7 27.8 25.5 34 1270 "black" "black" "black" "black"
"295" "000003465" 505 25.3 25.5 14.5 34.7 1310 "black" "black" "black" "black"
"296" "000003482" 474 16.9 20.5 29.1 33.5 1280 "black" "black" "black" "black"
"297" "000003495" 306 26.8 31.7 19.6 21.9 1360 "black" "black" "black" "black"
"298" "000003505" 385 18.2 30.6 27 24.2 1320 "black" "black" "black" "black"
"299" "000003522" 181 16.6 23.8 23.2 36.5 1270 "black" "black" "black" "black"
"300" "000003532" 94 12.8 31.9 23.4 31.9 1280 "black" "black" "black" "black"
"301" "000003541" 210 12.9 18.6 31 37.6 1250 "black" "black" "black" "black"
"302" "000003569" 225 15.6 31.1 22.7 30.7 1290 "black" "black" "black" "black"
"303" "000003583" 77 18.2 28.6 27.3 26 1290 "black" "black" "black" "black"
"304" "000003589" 173 16.2 28.3 24.3 31.2 1280 "black" "black" "black" "black"
"305" "000003596" 234 17.1 26.9 29.5 26.5 1310 "black" "black" "black" "black"
"306" "000003670" 96 2.1 1 22.9 74 1100 "black" "black" "black" "black"
"307" "000003728" 11 0 0 9.1 90.9 1020 "black" "black" "red" "red"
"308" "000003787" 31 0 0 3.2 96.8 940 "black" "black" "red" "red"
"309" "000003808" 99 85.9 14.1 0 0 1650 "black" "blue" "black" "blue"
"310" "000003811" 108 0 3.7 20.4 75.9 1090 "black" "black" "black" "black"
"311" "000003816" 250 1.6 6.8 18 73.6 1110 "black" "black" "black" "black"
"312" "000003818" 178 1.7 10.7 23 64.6 1120 "black" "black" "black" "black"
"313" "000003840" 126 0 3.2 15.9 81 1070 "black" "black" "black" "black"
"314" "000003841" 202 0 2.5 16.8 80.7 1080 "black" "black" "black" "black"
"315" "000003842" 251 0 6.8 15.1 78.1 1080 "black" "black" "black" "black"
"316" "000003843" 354 18.9 45.5 25.7 9.9 1370 "black" "black" "black" "black"
"317" "000003844" 199 3 19.6 33.7 43.7 1190 "black" "black" "black" "black"
"318" "000003845" 346 3.5 15 24 57.5 1160 "black" "black" "black" "black"
"319" "000003847" 490 2.4 12.4 19.2 65.9 1130 "black" "black" "black" "black"
"320" "000003848" 601 53.7 38.6 7.2 0.5 1530 "black" "blue" "black" "blue"
"321" "000003849" 350 1.1 5.7 13.7 79.4 1080 "black" "black" "black" "black"
"322" "000003850" 329 3.3 11.9 22.5 62.3 1140 "black" "black" "black" "black"
"323" "000003851" 236 0 1.3 8.5 90.3 1030 "black" "black" "red" "red"
"324" "000003852" 186 0 2.2 16.7 81.2 1070 "black" "black" "black" "black"
"325" "000003853" 265 0 5.3 12.8 81.9 1070 "black" "black" "black" "black"
"326" "000003854" 110 1.8 15.5 19.1 63.6 1150 "black" "black" "black" "black"
"327" "000003855" 643 8.6 19.6 28.6 43.2 1220 "black" "black" "black" "black"
"328" "000003856" 307 0.7 1.3 11.1 87 1050 "black" "black" "black" "black"
"329" "000003857" 313 0.6 5.8 21.4 72.2 1100 "black" "black" "black" "black"
"330" "000003858" 396 0.3 4 10.9 84.8 1060 "black" "black" "black" "black"
